Longitude,Latitude,ElevationMeters,ICAO,WMO,Region,Country2
-154.0,18.25,2.0703526,,0,,
-161.0,18.0,0.079117626,,0,,
-160.75,18.0,0.001443934,,0,,
-160.5,18.0,0.04326823,,0,,
-160.25,18.0,0.2057855,,0,,
-160.0,18.0,0.14045992,,0,,
-159.75,18.0,-0.3295655,,0,,
-159.5,18.0,0.3479881,,0,,
-159.25,18.0,-0.17461644,,0,,
-159.0,18.0,-0.32757387,,0,,
-158.75,18.0,-0.89080775,,0,,
-158.5,18.0,-1.2054858,,0,,
-158.25,18.0,-0.24193364,,0,,
-158.0,18.0,0.42008522,,0,,
-157.75,18.0,-0.577723,,0,,
-157.5,18.0,0.412517,,0,,
-157.25,18.0,0.1699361,,0,,
-157.0,18.0,0.18148758,,0,,
-156.75,18.0,-0.6175557,,0,,
-156.5,18.0,-0.4235706,,0,,
-156.25,18.0,2.9753506,,0,,
-156.0,18.0,-2.3279703,,0,,
-155.75,18.0,-2.6645563,,0,,
-155.5,18.0,-1.6771045,,0,,
-155.25,18.0,-0.23635706,,0,,
-155.0,18.0,2.3503761,,0,,
-154.75,18.0,1.0223551,,0,,
-154.5,18.0,0.70847374,,0,,
-154.25,18.0,0.73038167,,0,,
-154.0,18.0,0.76543444,,0,,
